PL-CCS kg/pl,PL-Tfe%,PL-FeO%,>16 mm,9-16 mm,6.3-9mm,<6.3 mm,Tumble%,Abrasion%,Porosity%,PL-SiO2%,PL-AL2O3%,PL-P%,PL-MnO%,PL-TiO2%,PL-CaO%,PL-MgO%
311,66.31,0.85,4.63,89.14,5.53,0.7,97.41,1.92,20.41,2.89,0.46,0.11,0.03,0.24,0.69,0.33
307,66.3,0.74,6.73,87.43,5.33,0.52,97.33,2.06,21.62,2.79,0.5,0.1,0.03,0.22,0.65,0.36
302,66.41,0.78,7.38,87.05,5.11,0.46,97.18,2.23,20.85,2.89,0.5,0.1,0.02,0.21,0.66,0.38
320,66.38,0.82,5.59,88.17,5.68,0.56,97.63,1.8,19.98,2.92,0.5,0.11,0.03,0.19,0.7,0.38
307,66.32,0.8,6.13,87.55,5.72,0.6,96.96,1.97,21.11,2.93,0.51,0.11,0.03,0.19,0.69,0.37
306,66.18,0.69,8.13,87.19,4.28,0.4,97.44,1.93,21.13,3.13,0.56,0.1,0.03,0.2,0.66,0.37
298,66,0.65,6.61,86.36,6.34,0.69,97.45,2.02,20.86,3.17,0.58,0.09,0.02,0.26,0.64,0.37
305,65.94,0.7,7.64,86.49,5.49,0.38,97.36,2.02,21.35,3.3,0.59,0.1,0.02,0.24,0.67,0.4
309,65.91,0.8,7.66,87.05,4.86,0.42,97.18,2.13,20.91,3.37,0.61,0.1,0.03,0.23,0.69,0.39
305,65.93,0.69,8.66,86.58,4.41,0.35,97.47,1.86,20.7,3.33,0.61,0.1,0.02,0.21,0.65,0.39
304,66.09,0.9,6.56,89.84,3.27,0.33,97.18,2.06,19.93,3.18,0.58,0.1,0.02,0.22,0.65,0.35
315,66.05,0.79,7,89.39,3.57,0.04,97.64,1.69,19.8,3.17,0.6,0.1,0.03,0.22,0.66,0.37
309,66.04,0.83,6.1,89.12,4.16,0.62,97.07,2.14,20.22,3.28,0.62,0.09,0.03,0.27,0.65,0.41
306,66.11,0.8,7.77,88.01,3.85,0.37,97.04,2.16,20.9,3.24,0.6,0.09,0.02,0.23,0.64,0.37
307,66.18,0.67,5.59,90.07,3.9,0.44,97.19,2.13,20.02,3.13,0.58,0.1,0.03,0.23,0.66,0.4
316,66.16,0.87,6.76,88.72,4.03,0.49,97.25,1.97,20.16,3.09,0.57,0.09,0.03,0.22,0.65,0.4
312,66.19,0.78,8.89,86.15,4.47,0.49,97.17,2.17,20.35,2.95,0.54,0.09,0.03,0.23,0.65,0.36
298,66.31,0.64,8.57,87.48,3.6,0.35,96.99,2.33,21.4,2.86,0.52,0.1,0.03,0.23,0.68,0.39
315,66.16,0.63,9.73,86.32,3.57,0.38,97.26,1.86,20.9,3,0.57,0.1,0.03,0.23,0.7,0.42
316,65.99,0.69,5.93,89.35,4.28,0.45,97.18,2.09,20.75,3.21,0.6,0.1,0.03,0.24,0.71,0.41
314,65.87,0.69,7.72,88.33,3.56,0.39,97.18,2.12,20.23,3.26,0.61,0.1,0.03,0.21,0.74,0.41
313,65.93,0.69,5.18,90.25,4.07,0.49,97.28,2.06,20.57,3.24,0.6,0.1,0.03,0.23,0.71,0.43
302,65.84,0.6,10.61,85.35,3.73,0.3,97.02,2.37,20.61,3.3,0.61,0.11,0.03,0.23,0.75,0.44
302,66.01,0.81,7.89,87.52,3.84,0.75,97.2,2.24,20.78,3.16,0.58,0.12,0.03,0.21,0.75,0.44
313,66.07,0.8,8.66,86.56,4.28,0.5,97.72,1.71,20.95,3.09,0.58,0.11,0.03,0.2,0.73,0.42
309,66.11,0.7,5.25,87.94,6.21,0.6,97.35,1.95,20.91,3.08,0.58,0.11,0.03,0.2,0.73,0.42
321,65.99,0.71,6.81,87.19,5.31,0.69,97.73,1.63,19.64,3.26,0.62,0.11,0.03,0.2,0.74,0.41
301,66.05,0.73,5.89,89.52,4.19,0.4,97.34,2.04,20.91,3.07,0.6,0.11,0.03,0.2,0.7,0.42
310,66.07,0.73,6.4,88.31,4.75,0.54,97.58,1.77,20.38,3.12,0.61,0.12,0.03,0.21,0.73,0.41
327,66.11,0.8,6.79,88.99,3.84,0.39,97.28,1.95,19.84,3,0.57,0.13,0.03,0.2,0.75,0.4
315,66.14,0.85,5.58,89.53,4.3,0.59,97.34,1.86,19.94,3.04,0.59,0.11,0.02,0.19,0.7,0.38
303,66.04,1.07,5.75,88.24,5.45,0.56,97.31,1.97,19.11,3.18,0.62,0.11,0.03,0.19,0.7,0.4
324,66.09,0.85,6.46,87.53,5.22,0.79,97.55,1.84,20.38,3.12,0.61,0.12,0.02,0.2,0.71,0.43
310,66.08,0.65,6.79,88.22,4.68,0.32,97.08,1.99,20.23,3.12,0.61,0.11,0.03,0.22,0.7,0.46
305,66.05,0.53,8.86,87.01,3.67,0.46,97.42,2.15,20.87,3.16,0.63,0.09,0.02,0.23,0.67,0.49
301,66.07,0.59,9.41,86.17,3.99,0.43,97.38,2.12,21.39,3.08,0.6,0.09,0.03,0.22,0.65,0.47
299,66.17,0.67,11.16,85.4,3.13,0.31,97.36,2.04,21.38,3.11,0.59,0.09,0.02,0.2,0.66,0.47
306,66.15,0.65,10.01,86.04,3.54,0.41,96.95,2.28,21.88,3.16,0.61,0.09,0.02,0.2,0.65,0.47
304,66.11,0.6,11.84,84.33,3.56,0.28,97.07,2.26,21.07,3.1,0.59,0.1,0.03,0.2,0.69,0.51
306,66.03,0.62,9.19,86.21,4.02,0.58,97.62,1.87,20.14,3.19,0.61,0.1,0.03,0.2,0.7,0.48
306,66.13,0.49,9.57,86.12,3.9,0.42,97.18,2.18,21.03,3.15,0.6,0.1,0.03,0.2,0.73,0.48
310,66.15,0.63,10.36,85.58,3.76,0.3,97.13,2.19,20.7,3.03,0.58,0.12,0.03,0.2,0.8,0.48
314,66.06,0.78,10.37,85.28,3.57,0.78,97.52,1.92,20.36,3.03,0.61,0.11,0.03,0.21,0.73,0.5
316,65.7,0.81,10.13,85.02,4.32,0.53,97.17,2.23,20.5,3.27,0.63,0.11,0.02,0.24,0.71,0.48
306,65.52,0.81,9.48,87.44,2.82,0.26,97.24,2.07,19.75,3.49,0.71,0.12,0.02,0.23,0.74,0.51
297,65.55,0.85,10.22,85.65,3.76,0.38,96.82,2.59,21.05,3.68,0.81,0.1,0.02,0.22,0.65,0.49
308,65.67,0.78,11.33,84.93,3.47,0.27,97.27,2.08,20.66,3.52,0.71,0.1,0.02,0.22,0.64,0.48
302,65.59,0.89,7.91,88.05,3.6,0.44,97.22,2.17,20.41,3.57,0.75,0.1,0.03,0.23,0.66,0.49
304,65.46,0.82,9.69,86.06,3.72,0.53,97.39,2.03,20.45,3.73,0.82,0.1,0.03,0.22,0.66,0.51
302,65.5,0.77,9.02,86.98,3.62,0.38,97.6,1.67,20.84,3.61,0.76,0.1,0.02,0.25,0.66,0.49
297,65.74,0.77,9.31,86.99,3.32,0.37,97.28,2.11,20.31,3.49,0.72,0.09,0.02,0.22,0.64,0.45
287,65.79,0.59,14.23,83.6,1.97,0.21,96.48,2.32,20.76,3.43,0.69,0.09,0.02,0.2,0.61,0.44
296,65.87,0.64,7.64,89.45,2.65,0.27,97.48,1.9,20.15,3.39,0.68,0.1,0.02,0.21,0.62,0.44
301,65.84,0.99,7.57,87.46,4.58,0.38,97.42,1.81,21.39,3.39,0.66,0.1,0.02,0.22,0.65,0.44
295,65.8,0.82,8.76,86.15,4.57,0.53,97.17,2.22,21.53,3.46,0.66,0.1,0.02,0.26,0.64,0.41
309,65.72,0.69,9.23,86.61,3.87,0.28,97.4,2.01,20.73,3.47,0.66,0.11,0.02,0.28,0.63,0.43
311,65.58,0.66,6.95,87.86,4.86,0.33,97.6,1.89,21.2,3.54,0.7,0.1,0.02,0.24,0.64,0.43
309,65.48,0.81,5.21,90.72,3.63,0.44,97.67,1.64,20.08,3.78,0.73,0.1,0.02,0.24,0.62,0.46
293,65.53,0.92,5.95,89.12,4.57,0.36,96.99,2.14,19.9,3.83,0.75,0.1,0.02,0.23,0.63,0.44
309,65.62,0.84,10.98,84.69,4.04,0.3,97.2,2.04,20.38,3.56,0.66,0.1,0.02,0.21,0.64,0.45
